2014/07/13,"[-2.003803253173828, -2.4242947101593018, 8.560415267944336, 13.21539306640625, -7.3682637214660645, -25.442672729492188, 23.672395706176758, 13.302947998046875, -19.300134658813477, 1.379425287246704]"
2014/07/18,"[-3.9784228801727295, 1.6148486137390137, 1.2057642936706543, 10.262142181396484, -5.85302209854126, -10.617131233215332, 8.245267868041992, 5.293980598449707, -9.553546905517578, -8.761041641235352]"
2014/07/19,"[0.4678073525428772, 0.14416103065013885, 5.16330623626709, 9.219985008239746, -4.73284387588501, -10.271623611450195, 9.377642631530762, 6.696113109588623, -9.527430534362793, -0.9076815247535706]"
2014/07/20,"[-2.395754098892212, 1.722591757774353, -1.250833511352539, 5.40337610244751, -3.2916221618652344, -4.440792083740234, 3.833141326904297, 2.582949638366699, -5.981740951538086, -5.637279987335205]"
2014/07/21,"[0.8241206407546997, -6.098011493682861, 14.453756332397461, 13.133207321166992, -6.407787322998047, -34.686058044433594, 33.17193603515625, 16.317859649658203, -28.235828399658203, 4.065021991729736]"
2014/07/22,"[-2.0115880966186523, -1.800527572631836, 7.617949962615967, 15.72807502746582, -10.103804588317871, -20.37267303466797, 14.329538345336914, 13.856142044067383, -10.342966079711914, 0.0011349553242325783]"
2014/07/23,"[-2.261885404586792, 1.510859727859497, 1.318999171257019, 9.11067008972168, -5.159908771514893, -8.15406608581543, 6.301602363586426, 5.395315170288086, -7.808168411254883, -5.389620304107666]"
2014/07/24,"[-1.5260565280914307, -4.181977272033691, 8.108829498291016, 3.724123239517212, -1.399793267250061, -22.759132385253906, 24.214458465576172, 6.820906639099121, -19.299047470092773, 1.4985129833221436]"
2014/07/25,"[1.8101439476013184, -5.693093776702881, 13.67699146270752, 2.801184892654419, -0.8635613918304443, -27.523765563964844, 30.272714614868164, 9.276298522949219, -23.762723922729492, 7.517882823944092]"
2014/07/26,"[-4.1359100341796875, 0.8276834487915039, 7.048233509063721, 18.098657608032227, -9.891252517700195, -21.495281219482422, 16.105321884155273, 13.355956077575684, -12.467029571533203, -4.705254554748535]"
2014/07/27,"[-1.6503010988235474, 1.6855605840682983, -1.6277345418930054, 8.723712921142578, -5.713790416717529, -1.541843056678772, -1.2118498086929321, 3.693535566329956, -2.608053207397461, -5.650355815887451]"
2014/07/29,"[-2.02362322807312, 2.705472230911255, 0.4622080326080322, 8.197725296020508, -5.02848482131958, -5.761894226074219, 4.774914264678955, 4.220174312591553, -7.4901299476623535, -5.842019081115723]"
2014/07/30,"[-1.9516953229904175, 3.0938727855682373, 2.772500991821289, 5.9571661949157715, -1.7237136363983154, -5.623588562011719, 5.730556011199951, 2.278620719909668, -5.577630043029785, -5.734560966491699]"
2014/07/31,"[-0.19203992187976837, -3.1796085834503174, 7.365577220916748, 11.80180549621582, -6.491195201873779, -19.63665771484375, 16.180809020996094, 12.25002670288086, -12.869772911071777, 2.0889456272125244]"
2014/08/01,"[-0.9778935313224792, -4.414215564727783, 9.354241371154785, 15.375341415405273, -7.399110317230225, -27.79901123046875, 25.198575973510742, 15.227096557617188, -21.48662757873535, 1.3888771533966064]"
2014/08/02,"[1.4752322435379028, -6.035649299621582, 13.60815715789795, 4.272486209869385, -1.5179945230484009, -28.644269943237305, 30.509273529052734, 9.821588516235352, -24.499635696411133, 5.599740505218506]"
