"id","original_date","ampm","home_team_name","away_team_name","game_type","away_win","away_loss","away_team_runs","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_runs","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so"
"2016/03/16/pitmlb-balmlb-1","2016/03/16","PM","Orioles","Pirates","S",5,9,3,6,0,"1","0","15",3,11,9,12,2,"3","0","6"
"2016/08/13/balmlb-sfnmlb-1","2016/08/13","PM","Giants","Orioles","R",65,51,2,5,0,"0","0","13",66,50,6,7,0,"1","1","10"
"2015/06/14/nyamlb-balmlb-1","2015/06/14","PM","Orioles","Yankees","R",34,28,5,10,0,"0","0","10",31,31,3,6,0,"0","0","7"
"2016/03/03/balmlb-tbamlb-1","2016/03/03","PM","Rays","Orioles","S",0,2,3,5,0,"0","0","3",1,1,10,17,3,"2","0","8"
"2016/07/18/balmlb-nyamlb-1","2016/07/18","PM","Yankees","Orioles","R",53,38,1,5,0,"1","1","6",46,46,2,7,1,"1","0","6"
"2016/08/11/balmlb-oakmlb-1","2016/08/11","PM","Athletics","Orioles","R",64,50,9,11,0,"2","0","4",51,64,6,10,1,"2","0","9"
"2014/04/08/balmlb-nyamlb-1","2014/04/08","PM","Yankees","Orioles","R",3,5,14,20,0,"3","0","8",4,4,5,13,0,"2","1","8"
"2014/05/10/houmlb-balmlb-1","2014/05/10","PM","Orioles","Astros","R",11,26,4,11,0,"1","4","5",20,14,5,13,1,"2","0","9"
"2016/03/13/balmlb-minmlb-1","2016/03/13","PM","Twins","Orioles","S",1,11,5,6,2,"1","0","7",6,6,14,15,1,"1","1","7"
"2014/02/28/balmlb-tbamlb-1","2014/02/28","PM","Rays","Orioles","S",1,0,4,9,0,"0","1","8",0,1,2,7,0,"0","0","8"
"2016/09/27/balmlb-tormlb-1","2016/09/27","PM","Blue Jays","Orioles","R",85,72,1,8,1,"0","0","6",87,70,5,9,0,"2","0","12"
"2016/03/26/bosmlb-balmlb-1","2016/03/26","PM","Orioles","Red Sox","S",11,14,8,14,1,"1","2","4",8,14,16,20,0,"4","4","7"
"2014/09/05/balmlb-tbamlb-1","2014/09/05","PM","Rays","Orioles","R",82,58,0,6,0,"0","0","0",68,74,3,8,0,"0","0","0"
"2015/08/02/detmlb-balmlb-1","2015/08/02","PM","Orioles","Tigers","R",51,54,6,9,0,"1","2","5",53,51,1,4,1,"1","0","5"
"2015/03/07/bosmlb-balmlb-1","2015/03/07","PM","Orioles","Red Sox","S",1,2,7,10,1,"2","1","9",2,4,6,6,0,"1","0","9"
"2014/03/08/bosmlb-balmlb-1","2014/03/08","PM","Orioles","Red Sox","S",2,6,3,6,2,"2","0","3",6,2,7,13,1,"1","0","12"
"2014/03/12/phimlb-balmlb-1","2014/03/12","PM","Orioles","Phillies","S",3,10,6,12,0,"0","0","4",9,4,5,8,0,"2","1","6"
"2016/09/24/arimlb-balmlb-1","2016/09/24","PM","Orioles","D-backs","R",64,90,1,7,2,"0","0","8",84,71,6,10,0,"2","0","11"
"2014/05/23/clemlb-balmlb-1","2014/05/23","PM","Orioles","Indians","R",23,26,4,7,1,"1","1","1",24,22,8,14,0,"2","0","7"
"2014/07/01/texmlb-balmlb-1","2014/07/01","PM","Orioles","Rangers","R",37,46,3,10,2,"0","0","4",44,39,8,8,0,"3","0","6"
"2015/07/31/detmlb-balmlb-1","2015/07/31","PM","Orioles","Tigers","R",50,53,7,16,2,"3","0","5",52,50,8,11,0,"2","0","12"
"2014/03/26/balmlb-bosmlb-1","2014/03/26","PM","Red Sox","Orioles","S",13,8,5,11,0,"1","0","6",9,16,4,8,0,"2","0","5"
"2014/04/09/balmlb-nyamlb-1","2014/04/09","PM","Yankees","Orioles","R",4,5,5,12,0,"1","0","5",4,5,4,10,1,"2","0","12"
"2015/05/20/seamlb-balmlb-1","2015/05/20","PM","Orioles","Mariners","R",18,21,4,12,0,"1","0","6",17,20,2,10,0,"0","0","6"
"2016/06/12/balmlb-tormlb-1","2016/06/12","PM","Blue Jays","Orioles","R",36,26,9,13,1,"5","1","10",35,30,10,14,0,"2","1","15"
"2014/03/22/balmlb-tbamlb-1","2014/03/22","PM","Rays","Orioles","S",12,7,3,7,0,"1","0","3",14,5,3,9,1,"1","0","14"
"2015/03/22/slnmlb-balmlb-1","2015/03/22","PM","Orioles","Cardinals","S",9,7,8,12,0,"2","4","6",8,13,6,10,3,"3","1","13"
"2015/07/25/balmlb-tbamlb-1","2015/07/25","PM","Rays","Orioles","R",47,49,5,7,0,"1","0","6",49,50,1,5,2,"1","0","3"
"2015/04/12/tormlb-balmlb-1","2015/04/12","PM","Orioles","Blue Jays","R",4,2,10,10,0,"3","1","9",3,3,7,8,0,"2","1","5"
"2014/09/21/bosmlb-balmlb-1","2014/09/21","PM","Orioles","Red Sox","R",68,88,3,12,0,"2","1","8",93,62,2,6,0,"0","1","8"
"2016/03/15/balmlb-tormlb-1","2016/03/15","PM","Blue Jays","Orioles","S",2,11,6,12,1,"1","2","5",10,2,6,12,0,"2","1","5"
"2016/07/29/balmlb-tormlb-1","2016/07/29","PM","Blue Jays","Orioles","R",58,44,5,7,1,"1","0","7",58,45,6,7,2,"3","0","9"
"2014/04/13/tormlb-balmlb-1","2014/04/13","PM","Orioles","Blue Jays","R",7,6,11,17,1,"3","0","4",5,7,3,8,0,"2","0","3"
"2016/04/06/minmlb-balmlb-1","2016/04/06","PM","Orioles","Twins","R",0,2,2,5,0,"1","0","6",2,0,4,9,0,"1","0","13"
"2016/06/02/bosmlb-balmlb-1","2016/06/02","PM","Orioles","Red Sox","R",32,22,7,12,0,"1","0","4",30,22,12,11,1,"7","1","6"
"2014/03/08/balmlb-bosmlb-1","2014/03/08","PM","Red Sox","Orioles","S",6,2,13,13,0,"0","4","11",2,6,2,3,6,"1","0","7"
"2016/09/04/nyamlb-balmlb-1","2016/09/04","PM","Orioles","Yankees","R",70,65,5,7,0,"0","0","10",74,62,2,6,1,"0","0","6"
"2014/05/11/houmlb-balmlb-1","2014/05/11","PM","Orioles","Astros","R",12,26,5,11,0,"2","0","8",20,15,2,8,0,"0","0","9"
"2014/07/30/anamlb-balmlb-1","2014/07/30","PM","Orioles","Angels","R",63,43,3,4,0,"0","0","7",60,46,4,6,0,"1","0","5"
"2015/05/29/tbamlb-balmlb-1","2015/05/29","PM","Orioles","Rays","R",24,25,1,5,0,"1","0","9",23,24,2,6,0,"1","0","8"
"2016/05/15/detmlb-balmlb-1","2016/05/15","PM","Orioles","Tigers","R",16,21,6,13,1,"3","0","12",23,13,5,7,0,"1","1","8"
"2014/05/01/pitmlb-balmlb-2","2014/05/01","AM","Orioles","Pirates","R",10,18,5,11,0,"0","0","6",14,12,6,12,0,"2","0","14"
