"original_date","home_team_name","away_team_name","away_win","away_loss","away_team_hits","away_team_errors","away_team_hr","away_team_sb","away_team_so","home_win","home_loss","home_team_hits","home_team_errors","home_team_hr","home_team_sb","home_team_so","away_team_runs","home_team_runs","gameday_link","isHome","score_diff","opponent","wins","opponentAngels","opponentAstros","opponentAthletics","opponentBlue.Jays","opponentBraves","opponentBrewers","opponentCardinals","opponentCubs","opponentD.backs","opponentDodgers","opponentGiants","opponentIndians","opponentMariners","opponentMarlins","opponentMets","opponentNationals","opponentPadres","opponentPhillies","opponentPirates","opponentRangers","opponentRays","opponentRed.Sox","opponentReds","opponentRockies","opponentRoyals","opponentTides","opponentTigers","opponentTwins","opponentWhite.Sox","opponentYankees"
"2014/05/01","Orioles","Pirates",10,17,9,2,"0","2","5",13,12,9,1,"1","0","6",1,5,"2014_05_01_pitmlb_balmlb_1",1,4,"Pirates",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2014/05/01","Orioles","Pirates",10,18,11,0,"0","0","6",14,12,12,0,"2","0","14",5,6,"2014_05_01_pitmlb_balmlb_2",1,1,"Pirates",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2014/05/02","Twins","Orioles",15,12,9,1,"1","0","13",12,15,4,0,"0","3","6",3,0,"2014_05_02_balmlb_minmlb_1",-1,3,"Twins",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014/05/03","Twins","Orioles",15,13,7,2,"0","1","8",13,15,12,0,"2","1","4",1,6,"2014_05_03_balmlb_minmlb_1",-1,-5,"Twins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014/05/04","Twins","Orioles",15,14,8,0,"1","0","9",14,15,10,1,"0","2","5",2,5,"2014_05_04_balmlb_minmlb_1",-1,-3,"Twins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014/05/06","Rays","Orioles",16,14,11,1,"1","0","4",15,18,6,1,"1","0","9",5,3,"2014_05_06_balmlb_tbamlb_1",-1,2,"Rays",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2014/05/07","Rays","Orioles",17,14,7,1,"3","0","7",15,19,7,1,"1","0","7",4,3,"2014_05_07_balmlb_tbamlb_1",-1,1,"Rays",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2014/05/08","Rays","Orioles",18,14,9,0,"1","0","4",15,20,9,0,"0","2","9",3,1,"2014_05_08_balmlb_tbamlb_1",-1,2,"Rays",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2014/05/09","Orioles","Astros",11,25,6,0,"1","1","7",19,14,8,1,"2","0","6",3,4,"2014_05_09_houmlb_balmlb_1",1,1,"Astros",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014/05/10","Orioles","Astros",11,26,11,0,"1","4","5",20,14,13,1,"2","0","9",4,5,"2014_05_10_houmlb_balmlb_1",1,1,"Astros",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
